i,j,BC
Ukraine,Austria,0
Ukraine,Denmark,0
Ukraine,France,0
Ukraine,Germany,0
Ukraine,Hungary,1
Ukraine,Moldova,1
Ukraine,Belgium,0
Ukraine,Poland,1
Ukraine,Switzerland,0
Ukraine,Romania,1
Ukraine,Slovakia,1
Ukraine,UnitedStates,0
Austria,Ukraine,0
Austria,Denmark,0
Austria,France,0
Austria,Germany,1
Austria,Hungary,1
Austria,Moldova,0
Austria,Belgium,0
Austria,Poland,0
Austria,Switzerland,0
Austria,Romania,0
Austria,Slovakia,1
Austria,UnitedStates,0
Denmark,Ukraine,0
Denmark,Austria,0
Denmark,France,0
Denmark,Germany,1
Denmark,Hungary,0
Denmark,Moldova,0
Denmark,Belgium,0
Denmark,Poland,0
Denmark,Switzerland,0
Denmark,Romania,0
Denmark,Slovakia,0
Denmark,UnitedStates,0
France,Ukraine,0
France,Austria,0
France,Denmark,0
France,Germany,1
France,Hungary,0
France,Moldova,0
France,Belgium,1
France,Poland,0
France,Switzerland,1
France,Romania,0
France,Slovakia,0
France,UnitedStates,0
Germany,Ukraine,0
Germany,Austria,1
Germany,Denmark,1
Germany,France,1
Germany,Hungary,0
Germany,Moldova,0
Germany,Belgium,1
Germany,Poland,1
Germany,Switzerland,1
Germany,Romania,0
Germany,Slovakia,0
Germany,UnitedStates,0
Hungary,Ukraine,1
Hungary,Austria,1
Hungary,Denmark,0
Hungary,France,0
Hungary,Germany,0
Hungary,Moldova,0
Hungary,Belgium,0
Hungary,Poland,0
Hungary,Switzerland,0
Hungary,Romania,1
Hungary,Slovakia,1
Hungary,UnitedStates,0
Moldova,Ukraine,1
Moldova,Austria,0
Moldova,Denmark,0
Moldova,France,0
Moldova,Germany,0
Moldova,Hungary,0
Moldova,Belgium,0
Moldova,Poland,0
Moldova,Switzerland,0
Moldova,Romania,1
Moldova,Slovakia,0
Moldova,UnitedStates,0
Belgium,Ukraine,0
Belgium,Austria,0
Belgium,Denmark,0
Belgium,France,1
Belgium,Germany,1
Belgium,Hungary,0
Belgium,Moldova,0
Belgium,Poland,0
Belgium,Switzerland,0
Belgium,Romania,0
Belgium,Slovakia,0
Belgium,UnitedStates,0
Poland,Ukraine,1
Poland,Austria,0
Poland,Denmark,0
Poland,France,0
Poland,Germany,1
Poland,Hungary,0
Poland,Moldova,0
Poland,Belgium,0
Poland,Switzerland,0
Poland,Romania,0
Poland,Slovakia,1
Poland,UnitedStates,0
Switzerland,Ukraine,0
Switzerland,Austria,1
Switzerland,Denmark,0
Switzerland,France,1
Switzerland,Germany,1
Switzerland,Hungary,0
Switzerland,Moldova,0
Switzerland,Belgium,0
Switzerland,Poland,0
Switzerland,Romania,0
Switzerland,Slovakia,0
Switzerland,UnitedStates,0
Romania,Ukraine,1
Romania,Austria,0
Romania,Denmark,0
Romania,France,0
Romania,Germany,0
Romania,Hungary,1
Romania,Moldova,1
Romania,Belgium,0
Romania,Poland,0
Romania,Switzerland,0
Romania,Slovakia,0
Romania,UnitedStates,0
Slovakia,Ukraine,1
Slovakia,Austria,1
Slovakia,Denmark,0
Slovakia,France,0
Slovakia,Germany,0
Slovakia,Hungary,1
Slovakia,Moldova,0
Slovakia,Belgium,0
Slovakia,Poland,1
Slovakia,Switzerland,0
Slovakia,Romania,0
Slovakia,UnitedStates,0
UnitedStates,Ukraine,0
UnitedStates,Austria,0
UnitedStates,Denmark,0
UnitedStates,France,0
UnitedStates,Germany,0
UnitedStates,Hungary,0
UnitedStates,Moldova,0
UnitedStates,Belgium,0
UnitedStates,Poland,0
UnitedStates,Switzerland,0
UnitedStates,Romania,0
UnitedStates,Slovakia,0
