t,Location,month,service_medical_L,service_medical_M,service_medical_H,service_info_legal_L,service_info_legal_M,service_info_legal_H,product_food_clothing_L,product_food_clothing_M,product_food_clothing_H,product_nonfood_items_clothing_L,product_nonfood_items_clothing_M,product_nonfood_items_clothing_H,product_housing_L,product_housing_M,product_housing_H
0,Austria,2022-02-01,34,47,200,68,93,400,136,186,800,68,93,400,34,47,200
0,Belgium,2022-02-01,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
0,Germany,2022-02-01,86,40,124,172,81,248,344,162,496,172,81,248,86,40,124
0,Moldova,2022-02-01,524,552,650,643,556,538,608,680,541,685,722,621,632,662,714
0,Ukraine,2022-02-01,602,770,606,571,688,520,602,621,714,587,599,651,630,649,757
0,UnitedState,2022-02-01,45,31,100,91,61,200,182,123,400,91,61,200,45,31,100
1,Austria,2022-03-01,880,921,3415,1761,1842,6830,3521,3685,13660,1761,1842,6830,880,921,3415
1,Belgium,2022-03-01,317,197,578,634,395,1157,1268,789,2314,634,395,1157,317,197,578
1,France,2022-03-01,266,103,196,531,207,392,1063,413,784,531,207,392,266,103,196
1,Germany,2022-03-01,2635,1438,5228,5269,2876,10457,10538,5752,20913,5269,2876,10457,2635,1438,5228
1,Moldova,2022-03-01,720,734,645,738,575,508,573,752,729,506,673,640,667,669,782
1,Ukraine,2022-03-01,793,691,776,660,521,752,735,548,558,669,687,770,689,674,550
1,UnitedState,2022-03-01,338,212,568,676,424,1135,1352,848,2271,676,424,1135,338,212,568
10,Austria,2022-12-01,59,169,1909,118,338,3817,236,676,7635,118,338,3817,59,169,1909
10,Belgium,2022-12-01,78,61,525,156,123,1050,313,246,2101,156,123,1050,78,61,525
10,Denmark,2022-12-01,71,45,398,142,90,797,284,180,1593,142,90,797,71,45,398
10,France,2022-12-01,92,160,710,184,320,1419,368,640,2838,184,320,1419,92,160,710
10,Germany,2022-12-01,444,311,2188,887,621,4377,1774,1243,8754,887,621,4377,444,311,2188
10,Hungry,2022-12-01,2,1,0,5,1,0,10,3,1,5,1,0,2,1,0
10,Moldova,2022-12-01,621,693,504,528,664,635,644,716,800,631,791,569,751,774,681
10,Romania,2022-12-01,12,4,11,23,7,23,46,14,46,23,7,23,12,4,11
10,Slovakia,2022-12-01,17,7,18,33,14,36,67,28,71,33,14,36,17,7,18
10,Switzerland,2022-12-01,34,56,173,67,111,347,134,222,694,67,111,347,34,56,173
10,Ukraine,2022-12-01,554,743,630,634,520,666,773,588,513,741,764,552,591,763,534
10,UnitedState,2022-12-01,63,30,90,126,61,181,252,122,361,126,61,181,63,30,90
11,Austria,2023-01-01,61,181,1814,121,363,3627,242,725,7254,121,363,3627,61,181,1814
11,Belgium,2023-01-01,63,74,580,126,148,1160,252,296,2320,126,148,1160,63,74,580
11,Denmark,2023-01-01,71,47,459,142,94,919,283,188,1837,142,94,919,71,47,459
11,France,2023-01-01,88,156,770,177,311,1540,353,623,3080,177,311,1540,88,156,770
11,Germany,2023-01-01,456,309,1888,912,619,3777,1824,1237,7553,912,619,3777,456,309,1888
11,Hungry,2023-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Moldova,2023-01-01,666,590,701,518,538,625,672,640,741,719,625,557,647,500,689
11,Romania,2023-01-01,7,2,9,15,5,18,29,10,36,15,5,18,7,2,9
11,Slovakia,2023-01-01,15,7,21,30,14,42,60,28,84,30,14,42,15,7,21
11,Switzerland,2023-01-01,39,66,187,78,133,374,157,265,748,78,133,374,39,66,187
11,Ukraine,2023-01-01,705,580,549,501,553,605,759,690,717,543,661,701,769,770,714
11,UnitedState,2023-01-01,58,35,99,115,70,198,231,140,397,115,70,198,58,35,99
12,Austria,2023-02-01,50,191,1790,101,382,3579,202,764,7158,101,382,3579,50,191,1790
12,Belgium,2023-02-01,72,75,506,145,150,1011,290,301,2022,145,150,1011,72,75,506
12,Denmark,2023-02-01,54,44,393,108,87,786,215,174,1572,108,87,786,54,44,393
12,France,2023-02-01,86,125,633,173,250,1267,345,500,2534,173,250,1267,86,125,633
12,Germany,2023-02-01,339,277,1643,678,554,3285,1356,1108,6571,678,554,3285,339,277,1643
12,Hungry,2023-02-01,2,1,0,5,2,0,9,4,0,5,2,0,2,1,0
12,Moldova,2023-02-01,690,616,633,557,543,672,659,672,648,579,712,702,751,728,663
12,Romania,2023-02-01,4,1,14,8,2,29,16,5,58,8,2,29,4,1,14
12,Slovakia,2023-02-01,10,4,99,20,7,198,40,14,396,20,7,198,10,4,99
12,Switzerland,2023-02-01,33,52,164,65,104,328,131,208,656,65,104,328,33,52,164
12,Ukraine,2023-02-01,751,689,795,712,707,736,552,779,716,751,687,540,656,514,800
12,UnitedState,2023-02-01,60,30,70,120,59,139,240,119,278,120,59,139,60,30,70
13,Austria,2023-03-01,56,164,1652,113,329,3305,226,658,6610,113,329,3305,56,164,1652
13,Belgium,2023-03-01,56,73,496,111,147,993,223,294,1986,111,147,993,56,73,496
13,Denmark,2023-03-01,56,43,502,113,85,1005,226,170,2010,113,85,1005,56,43,502
13,France,2023-03-01,79,142,660,159,284,1319,317,568,2639,159,284,1319,79,142,660
13,Germany,2023-03-01,346,255,1546,691,510,3093,1383,1020,6186,691,510,3093,346,255,1546
13,Hungry,2023-03-01,4,2,1,9,4,2,18,7,5,9,4,2,4,2,1
13,Moldova,2023-03-01,726,646,519,546,732,513,642,500,553,758,643,511,723,771,655
13,Poland,2023-03-01,23,25,55,46,50,110,92,100,220,46,50,110,23,25,55
13,Romania,2023-03-01,11,7,22,23,13,45,45,27,90,23,13,45,11,7,22
13,Slovakia,2023-03-01,3,1,50,7,1,100,13,3,200,7,1,100,3,1,50
