i,p,t,level,marginal,lower,upper,scale
Austria,food_clothing,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,3,16405.0,-0.0,0.0,inf,1.0
Austria,food_clothing,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,6,22467.0,-0.0,0.0,inf,1.0
Austria,food_clothing,7,12138.0,-0.0,0.0,inf,1.0
Austria,food_clothing,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,9,12524.0,-0.0,0.0,inf,1.0
Austria,food_clothing,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,11,8130.0,-0.0,0.0,inf,1.0
Austria,food_clothing,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,14,6041.0,-0.0,0.0,inf,1.0
Austria,food_clothing,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,17,121700.0,-0.0,0.0,inf,1.0
Austria,food_clothing,18,117151.0,-0.0,0.0,inf,1.0
Austria,food_clothing,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,20,2501.0,-0.0,0.0,inf,1.0
Austria,food_clothing,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,22,10665.0,-0.0,0.0,inf,1.0
Austria,food_clothing,23,9843.0,-0.0,0.0,inf,1.0
Austria,food_clothing,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,25,632.0,-0.0,0.0,inf,1.0
Austria,food_clothing,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,27,5422.0,-0.0,0.0,inf,1.0
Austria,food_clothing,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,3,13329.0,-0.0,0.0,inf,1.0
Austria,housing,4,3150.0,-0.0,0.0,inf,1.0
Austria,housing,5,0.0,-0.0,0.0,inf,1.0
Austria,housing,6,2573.0,-0.0,0.0,inf,1.0
Austria,housing,7,0.0,-0.0,0.0,inf,1.0
Austria,housing,8,0.0,-0.0,0.0,inf,1.0
