i,s,r,a,t,level,marginal,lower,upper,scale
Austria,info_legal,L,1,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,1,811.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,2,471.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,3,181.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,4,307.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,5,53.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,6,48.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,7,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,8,23.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,9,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,11,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,12,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,14,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,15,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,16,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,17,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,18,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,19,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,20,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,21,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,22,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,23,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,24,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,25,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,26,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,27,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,28,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,29,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,30,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,1,31,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,1,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,2,811.0,-9.969095803010668e-05,0.0,inf,1.0
Austria,info_legal,L,2,3,471.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,4,181.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,5,119.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,6,53.0,-0.0001597188947452484,0.0,inf,1.0
Austria,info_legal,L,2,7,48.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,8,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,9,23.0,-0.00025680534155110427,0.0,inf,1.0
Austria,info_legal,L,2,10,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,11,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,12,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,13,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,L,2,14,0.0,-0.0,0.0,inf,1.0
