i,p,r,a,t,level,marginal,lower,upper,scale
Austria,food_clothing,L,1,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,3,1041.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,4,615.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,5,650.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,6,592.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,7,362.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,15,163.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,20,176.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,21,128.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,22,78.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,23,96.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,24,84.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,25,88.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,26,71.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,27,82.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,28,69.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,29,26.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,30,9.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,1,31,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,3,2230.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,8,77.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,9,339.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,10,282.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,11,236.0,-0.0,0.0,inf,1.0
Austria,food_clothing,L,2,12,242.0,-0.0,0.0,inf,1.0
