i,s,t,level,marginal,lower,upper,scale
Austria,info_legal,0,0.0,-0.0,0.0,inf,1.0
Austria,info_legal,1,26.0,-0.0,0.0,inf,1.0
Austria,info_legal,2,26.0,-0.0,0.0,inf,1.0
Austria,info_legal,3,28.0,-0.0,0.0,inf,1.0
Austria,info_legal,4,29.0,-0.0,0.0,inf,1.0
Austria,info_legal,5,28.0,-0.0,0.0,inf,1.0
Austria,info_legal,6,26.0,-0.0,0.0,inf,1.0
Austria,info_legal,7,23.0,-0.0,0.0,inf,1.0
Austria,info_legal,8,26.0,-0.0,0.0,inf,1.0
Austria,info_legal,9,24.0,-0.0,0.0,inf,1.0
Austria,info_legal,10,22.0,-0.0,0.0,inf,1.0
Austria,info_legal,11,21.0,-0.0,0.0,inf,1.0
Austria,info_legal,12,21.0,-0.0,0.0,inf,1.0
Austria,info_legal,13,19.0,-0.0,0.0,inf,1.0
Austria,info_legal,14,18.0,-0.0,0.0,inf,1.0
Austria,info_legal,15,18.0,-0.0,0.0,inf,1.0
Austria,info_legal,16,12.0,-0.0,0.0,inf,1.0
Austria,info_legal,17,15.0,-0.0,0.0,inf,1.0
Austria,info_legal,18,12.0,-0.0,0.0,inf,1.0
Austria,info_legal,19,12.0,-0.0,0.0,inf,1.0
Austria,info_legal,20,13.0,-0.0,0.0,inf,1.0
Austria,info_legal,21,7.0,-0.0,0.0,inf,1.0
Austria,info_legal,22,7.0,-0.0,0.0,inf,1.0
Austria,info_legal,23,7.0,-0.0,0.0,inf,1.0
Austria,info_legal,24,7.0,-0.0,0.0,inf,1.0
Austria,info_legal,25,5.0,-0.0,0.0,inf,1.0
Austria,info_legal,26,5.0,-0.0,0.0,inf,1.0
Austria,info_legal,27,5.0,-0.0,0.0,inf,1.0
Austria,info_legal,28,5.0,-0.0,0.0,inf,1.0
Austria,info_legal,29,1.0,-0.0,0.0,inf,1.0
Austria,info_legal,30,1.0,-0.0,0.0,inf,1.0
Austria,info_legal,31,0.0,-0.0,0.0,inf,1.0
Austria,medical,0,0.0,-0.0,0.0,inf,1.0
Austria,medical,1,21.0,-0.0,0.0,inf,1.0
Austria,medical,2,21.0,-0.0,0.0,inf,1.0
Austria,medical,3,21.0,-0.0,0.0,inf,1.0
Austria,medical,4,20.0,-0.0,0.0,inf,1.0
Austria,medical,5,21.0,-0.0,0.0,inf,1.0
Austria,medical,6,21.0,-0.0,0.0,inf,1.0
Austria,medical,7,13.0,-0.0,0.0,inf,1.0
Austria,medical,8,16.0,-0.0,0.0,inf,1.0
Austria,medical,9,178.0,-0.0,0.0,inf,1.0
Austria,medical,10,12.0,-0.0,0.0,inf,1.0
Austria,medical,11,12.0,-0.0,0.0,inf,1.0
Austria,medical,12,11.0,-0.0,0.0,inf,1.0
Austria,medical,13,10.0,-0.0,0.0,inf,1.0
Austria,medical,14,8.0,-0.0,0.0,inf,1.0
Austria,medical,15,8.0,-0.0,0.0,inf,1.0
Austria,medical,16,6.0,-0.0,0.0,inf,1.0
Austria,medical,17,7.0,-0.0,0.0,inf,1.0
Austria,medical,18,6.0,-0.0,0.0,inf,1.0
Austria,medical,19,6.0,-0.0,0.0,inf,1.0
Austria,medical,20,7.0,-0.0,0.0,inf,1.0
Austria,medical,21,7.0,-0.0,0.0,inf,1.0
Austria,medical,22,2.0,-0.0,0.0,inf,1.0
Austria,medical,23,2.0,-0.0,0.0,inf,1.0
Austria,medical,24,2.0,-0.0,0.0,inf,1.0
Austria,medical,25,2.0,-0.0,0.0,inf,1.0
Austria,medical,26,1.0,-0.0,0.0,inf,1.0
Austria,medical,27,1.0,-0.0,0.0,inf,1.0
Austria,medical,28,1.0,-0.0,0.0,inf,1.0
Austria,medical,29,1.0,-0.0,0.0,inf,1.0
Austria,medical,30,1.0,-0.0,0.0,inf,1.0
Austria,medical,31,0.0,-0.0,0.0,inf,1.0
Belgium,info_legal,0,0.0,-0.0,0.0,inf,1.0
Belgium,info_legal,1,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,2,5.0,-0.0,0.0,inf,1.0
Belgium,info_legal,3,5.0,-0.0,0.0,inf,1.0
Belgium,info_legal,4,6.0,-0.0,0.0,inf,1.0
Belgium,info_legal,5,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,6,2.0,-0.0,0.0,inf,1.0
Belgium,info_legal,7,8.0,-0.0,0.0,inf,1.0
Belgium,info_legal,8,5.0,-0.0,0.0,inf,1.0
Belgium,info_legal,9,5.0,-0.0,0.0,inf,1.0
Belgium,info_legal,10,7.0,-0.0,0.0,inf,1.0
Belgium,info_legal,11,8.0,-0.0,0.0,inf,1.0
Belgium,info_legal,12,8.0,-0.0,0.0,inf,1.0
Belgium,info_legal,13,7.0,-0.0,0.0,inf,1.0
Belgium,info_legal,14,7.0,-0.0,0.0,inf,1.0
Belgium,info_legal,15,7.0,-0.0,0.0,inf,1.0
Belgium,info_legal,16,5.0,-0.0,0.0,inf,1.0
Belgium,info_legal,17,20.0,-0.0,0.0,inf,1.0
Belgium,info_legal,18,20.0,-0.0,0.0,inf,1.0
Belgium,info_legal,19,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,20,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,21,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,22,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,23,4.0,-0.0,0.0,inf,1.0
Belgium,info_legal,24,8.0,-0.0,0.0,inf,1.0
Belgium,info_legal,25,3.0,-0.0,0.0,inf,1.0
Belgium,info_legal,26,32.0,-0.0,0.0,inf,1.0
Belgium,info_legal,27,32.0,-0.0,0.0,inf,1.0
Belgium,info_legal,28,32.0,-0.0,0.0,inf,1.0
Belgium,info_legal,29,32.0,-0.0,0.0,inf,1.0
Belgium,info_legal,30,66.0,-0.0,0.0,inf,1.0
Belgium,info_legal,31,1.0,-0.0,0.0,inf,1.0
Belgium,medical,0,0.0,-0.0,0.0,inf,1.0
Belgium,medical,1,4.0,-0.0,0.0,inf,1.0
Belgium,medical,2,4.0,-0.0,0.0,inf,1.0
Belgium,medical,3,4.0,-0.0,0.0,inf,1.0
Belgium,medical,4,3.0,-0.0,0.0,inf,1.0
Belgium,medical,5,3.0,-0.0,0.0,inf,1.0
Belgium,medical,6,4.0,-0.0,0.0,inf,1.0
Belgium,medical,7,4.0,-0.0,0.0,inf,1.0
Belgium,medical,8,3.0,-0.0,0.0,inf,1.0
Belgium,medical,9,4.0,-0.0,0.0,inf,1.0
Belgium,medical,10,4.0,-0.0,0.0,inf,1.0
Belgium,medical,11,4.0,-0.0,0.0,inf,1.0
Belgium,medical,12,4.0,-0.0,0.0,inf,1.0
Belgium,medical,13,4.0,-0.0,0.0,inf,1.0
Belgium,medical,14,3.0,-0.0,0.0,inf,1.0
Belgium,medical,15,3.0,-0.0,0.0,inf,1.0
Belgium,medical,16,3.0,-0.0,0.0,inf,1.0
Belgium,medical,17,3.0,-0.0,0.0,inf,1.0
Belgium,medical,18,3.0,-0.0,0.0,inf,1.0
Belgium,medical,19,2.0,-0.0,0.0,inf,1.0
Belgium,medical,20,2.0,-0.0,0.0,inf,1.0
Belgium,medical,21,2.0,-0.0,0.0,inf,1.0
Belgium,medical,22,2.0,-0.0,0.0,inf,1.0
Belgium,medical,23,2.0,-0.0,0.0,inf,1.0
Belgium,medical,24,2.0,-0.0,0.0,inf,1.0
Belgium,medical,25,2.0,-0.0,0.0,inf,1.0
Belgium,medical,26,2.0,-0.0,0.0,inf,1.0
Belgium,medical,27,2.0,-0.0,0.0,inf,1.0
Belgium,medical,28,2.0,-0.0,0.0,inf,1.0
Belgium,medical,29,1.0,-0.0,0.0,inf,1.0
Belgium,medical,30,1.0,-0.0,0.0,inf,1.0
Belgium,medical,31,1.0000000000001243,-0.0,0.0,inf,1.0
Denmark,info_legal,0,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,1,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,2,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,3,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,4,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,5,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,6,0.0,-0.0,0.0,inf,1.0
Denmark,info_legal,7,5.0,-0.0,0.0,inf,1.0
Denmark,info_legal,8,5.0,-0.0,0.0,inf,1.0
Denmark,info_legal,9,6.0,-0.0,0.0,inf,1.0
Denmark,info_legal,10,6.0,-0.0,0.0,inf,1.0
Denmark,info_legal,11,6.0,-0.0,0.0,inf,1.0
Denmark,info_legal,12,5.0,-0.0,0.0,inf,1.0
Denmark,info_legal,13,7.0,-0.0,0.0,inf,1.0
Denmark,info_legal,14,5.0,-0.0,0.0,inf,1.0
Denmark,info_legal,15,4.0,-0.0,0.0,inf,1.0
Denmark,info_legal,16,6.0,-0.0,0.0,inf,1.0
