t,level,marginal,lower,upper,scale
0,1.0,1.0,0.0,1.0,1.0
1,0.013534162846540057,0.0,0.0,1.0,1.0
2,0.026826207427840112,0.0,0.0,1.0,1.0
3,0.5772106469943177,0.0,0.0,1.0,1.0
4,0.6525022630285787,0.0,0.0,1.0,1.0
5,0.7698546806353498,0.0,0.0,1.0,1.0
6,0.8160482080558198,0.0,0.0,1.0,1.0
7,0.8375658840440825,0.0,0.0,1.0,1.0
8,0.842478813559322,0.0,0.0,1.0,1.0
9,0.8611371446422993,0.0,0.0,1.0,1.0
10,0.8713405238828968,0.0,0.0,1.0,1.0
11,0.8733575622029633,0.0,0.0,1.0,1.0
12,0.8751305385648216,0.0,0.0,1.0,1.0
13,0.8820851354427497,0.0,0.0,1.0,1.0
14,0.8882111436950147,0.0,0.0,1.0,1.0
15,0.8996074032529445,0.0,0.0,1.0,1.0
16,0.9093875983874066,0.0,0.0,1.0,1.0
17,0.9214263174502998,0.0,0.0,1.0,1.0
18,0.9312055208108692,0.0,0.0,1.0,1.0
19,0.9344104171690379,0.0,0.0,1.0,1.0
20,0.9367355546183045,0.0,0.0,1.0,1.0
21,0.9448183041722746,0.0,0.0,1.0,1.0
22,0.96140537663029,0.0,0.0,1.0,1.0
23,0.9144144144144143,0.0,0.0,1.0,1.0
24,0.9632721202003338,0.0,0.0,1.0,1.0
25,0.9693992139247612,0.0,0.0,1.0,1.0
26,0.9734449760765551,0.0,0.0,1.0,1.0
27,0.8861529548088064,0.0,0.0,1.0,1.0
28,0.8811267605633804,0.0,0.0,1.0,1.0
29,0.9613243480808674,0.0,0.0,1.0,1.0
30,0.979375,0.0,0.0,1.0,1.0
31,0.995,0.0,0.0,1.0,1.0
