i,p,t,level,marginal,lower,upper,scale
Austria,food_clothing,0,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,1,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,2,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,3,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,4,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,5,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,6,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,7,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,8,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,9,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,10,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,11,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,12,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,13,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,14,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,15,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,16,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,17,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,18,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,19,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,20,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,21,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,22,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,23,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,24,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,25,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,26,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,27,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,28,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,29,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,30,0.0,-0.0,0.0,inf,1.0
Austria,food_clothing,31,0.0,-0.0,0.0,inf,1.0
Austria,housing,0,0.0,-0.0,0.0,inf,1.0
Austria,housing,1,0.0,-0.0,0.0,inf,1.0
Austria,housing,2,0.0,-0.0,0.0,inf,1.0
Austria,housing,3,0.0,-0.0,0.0,inf,1.0
Austria,housing,4,0.0,-0.0,0.0,inf,1.0
Austria,housing,5,0.0,-0.0,0.0,inf,1.0
Austria,housing,6,0.0,-0.0,0.0,inf,1.0
Austria,housing,7,0.0,-0.0,0.0,inf,1.0
Austria,housing,8,0.0,-0.0,0.0,inf,1.0
Austria,housing,9,0.0,-0.0,0.0,inf,1.0
