i,j,s,t,level,marginal,lower,upper,scale
Austria,Austria,info_legal,0,0.0,-0.0,0.0,inf,1.0
Austria,Austria,medical,0,0.0,-0.0,0.0,inf,1.0
Austria,Belgium,info_legal,0,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,1,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,2,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,3,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,4,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,5,1.0000000000019398,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,6,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,7,1.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,8,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,9,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,10,1.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,11,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,12,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,13,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,14,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,15,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,16,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,17,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,18,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,19,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,20,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,21,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,22,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,23,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,24,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,25,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,26,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,27,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,28,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,29,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,30,0.0,200.0,0.0,inf,1.0
Austria,Belgium,info_legal,31,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,0,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,1,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,2,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,3,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,4,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,5,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,6,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,7,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,8,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,9,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,10,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,11,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,12,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,13,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,14,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,15,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,16,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,17,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,18,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,19,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,20,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,21,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,22,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,23,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,24,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,25,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,26,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,27,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,28,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,29,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,30,0.0,200.0,0.0,inf,1.0
Austria,Belgium,medical,31,0.0,200.0,0.0,inf,1.0
Austria,Denmark,info_legal,0,0.0,200.0,0.0,inf,1.0
