i,s,t,level,marginal,lower,upper,scale
Austria,info_legal,0,0.0,1000.0,0.0,inf,1.0
Austria,info_legal,1,34.0,1000.0,0.0,inf,1.0
Austria,info_legal,2,32.0,1000.0,0.0,inf,1.0
Austria,info_legal,3,33.0,1000.0,0.0,inf,1.0
Austria,info_legal,4,33.0,1000.0,0.0,inf,1.0
Austria,info_legal,5,30.0,1000.0,0.0,inf,1.0
Austria,info_legal,6,31.0,1000.0,0.0,inf,1.0
Austria,info_legal,7,26.0,1000.0,0.0,inf,1.0
Austria,info_legal,8,30.0,1000.0,0.0,inf,1.0
Austria,info_legal,9,25.0,1000.0,0.0,inf,1.0
Austria,info_legal,10,22.0,1000.0,0.0,inf,1.0
Austria,info_legal,11,22.0,1000.0,0.0,inf,1.0
Austria,info_legal,12,22.0,1000.0,0.0,inf,1.0
Austria,info_legal,13,19.00000000000108,1000.0,0.0,inf,1.0
Austria,info_legal,14,17.00000000000108,1000.0,0.0,inf,1.0
Austria,info_legal,15,17.00000000000108,1000.0,0.0,inf,1.0
Austria,info_legal,16,17.00000000000108,1000.0,0.0,inf,1.0
Austria,info_legal,17,17.00000000000108,1000.0,0.0,inf,1.0
Austria,info_legal,18,16.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,19,16.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,20,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,21,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,22,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,23,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,24,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,25,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,26,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,27,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,28,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,29,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,30,15.00000000000222,1000.0,0.0,inf,1.0
Austria,info_legal,31,15.00000000000222,1000.0,0.0,inf,1.0
Austria,medical,0,0.0,1200.0,0.0,inf,1.0
Austria,medical,1,27.0,1200.0,0.0,inf,1.0
Austria,medical,2,27.0,1200.0,0.0,inf,1.0
Austria,medical,3,27.0,1200.0,0.0,inf,1.0
Austria,medical,4,27.0,1200.0,0.0,inf,1.0
Austria,medical,5,27.0,1200.0,0.0,inf,1.0
Austria,medical,6,27.0,1200.0,0.0,inf,1.0
Austria,medical,7,27.0,1200.0,0.0,inf,1.0
Austria,medical,8,27.0,1200.0,0.0,inf,1.0
Austria,medical,9,27.0,1200.0,0.0,inf,1.0
Austria,medical,10,27.0,1200.0,0.0,inf,1.0
